🐰 Keploy: 2024-09-22T02:21:51+05:30 	[34mINFO[0m	keploy initialized and probes added to the kernel.
🐰 Keploy: 2024-09-22T02:21:52+05:30 	[34mINFO[0m	Keploy has taken control of the DNS resolution mechanism, your application may misbehave if you have provided wrong domain name in your application code.
🐰 Keploy: 2024-09-22T02:21:52+05:30 	[34mINFO[0m	starting TCP DNS server at addr :26789
🐰 Keploy: 2024-09-22T02:21:52+05:30 	[34mINFO[0m	starting UDP DNS server at addr :26789
🐰 Keploy: 2024-09-22T02:21:52+05:30 	[34mINFO[0m	Proxy started at port:16789
🐰 Keploy: 2024-09-22T02:21:55+05:30 	[31mERROR[0m	failed to dial the conn to destination server	{"Client IP Address": "127.0.0.1:33340", "Client ConnectionID": "0", "Destination IP Address": "127.0.0.1:6789", "Destination ConnectionID": "1", "proxy port": 16789, "server address": "127.0.0.1:6789", "error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:21:55+05:30 	[31mERROR[0m	failed to handle the client connection	{"error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:21:56+05:30 	[31mERROR[0m	failed to dial the conn to destination server	{"Client IP Address": "127.0.0.1:33356", "Client ConnectionID": "2", "Destination IP Address": "127.0.0.1:6789", "Destination ConnectionID": "3", "proxy port": 16789, "server address": "127.0.0.1:6789", "error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:21:56+05:30 	[31mERROR[0m	failed to handle the client connection	{"error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:21:57+05:30 	[31mERROR[0m	failed to dial the conn to destination server	{"Client IP Address": "127.0.0.1:33364", "Client ConnectionID": "4", "Destination IP Address": "127.0.0.1:6789", "Destination ConnectionID": "5", "proxy port": 16789, "server address": "127.0.0.1:6789", "error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:21:57+05:30 	[31mERROR[0m	failed to handle the client connection	{"error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:00+05:30 	[31mERROR[0m	failed to dial the conn to destination server	{"Client IP Address": "127.0.0.1:58378", "Client ConnectionID": "6", "Destination IP Address": "127.0.0.1:6789", "Destination ConnectionID": "7", "proxy port": 16789, "server address": "127.0.0.1:6789", "error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:00+05:30 	[31mERROR[0m	failed to handle the client connection	{"error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:04+05:30 	[31mERROR[0m	failed to dial the conn to destination server	{"Client IP Address": "127.0.0.1:58388", "Client ConnectionID": "8", "Destination IP Address": "127.0.0.1:6789", "Destination ConnectionID": "9", "proxy port": 16789, "server address": "127.0.0.1:6789", "error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:04+05:30 	[31mERROR[0m	failed to handle the client connection	{"error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:10+05:30 	[31mERROR[0m	failed to dial the conn to destination server	{"Client IP Address": "127.0.0.1:46680", "Client ConnectionID": "10", "Destination IP Address": "127.0.0.1:6789", "Destination ConnectionID": "11", "proxy port": 16789, "server address": "127.0.0.1:6789", "error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:10+05:30 	[31mERROR[0m	failed to handle the client connection	{"error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:21+05:30 	[31mERROR[0m	failed to dial the conn to destination server	{"Client IP Address": "127.0.0.1:40046", "Client ConnectionID": "12", "Destination IP Address": "127.0.0.1:6789", "Destination ConnectionID": "13", "proxy port": 16789, "server address": "127.0.0.1:6789", "error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:21+05:30 	[31mERROR[0m	failed to handle the client connection	{"error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:38+05:30 	[31mERROR[0m	failed to dial the conn to destination server	{"Client IP Address": "127.0.0.1:46186", "Client ConnectionID": "14", "Destination IP Address": "127.0.0.1:6789", "Destination ConnectionID": "15", "proxy port": 16789, "server address": "127.0.0.1:6789", "error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
🐰 Keploy: 2024-09-22T02:22:38+05:30 	[31mERROR[0m	failed to handle the client connection	{"error": "dial tcp 127.0.0.1:6789: connect: connection refused"}
